零件号,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K700210560,F,07D12,极差,1,0,0.38999999999999996,0.35,0.39,0.4
K700210560,P,07D18,P52,4,2,3.1,3.1,2.9,3.2
K700210560,P,07D18,P52,4,2,2.8,3,2.8,2.6
K700210560,P,07D18,P52,4,2,2.6,3.2,2.9,2.9
K700210560,F,07D19,极差,1,0,0.5,0.20000000000000018,0.10000000000000009,0.6000000000000001
K700210560,P,07D16,P53,4,2,2.9,3,3.3,3
K700210560,P,07D16,P53,4,2,2.8,2.9,2.8,2.8
K700210560,P,07D16,P53,4,2,2.9,3.2,3.3,2.9
K700210560,F,07D17,极差,1,0,0.10000000000000009,0.30000000000000027,0.5,0.20000000000000018
K700210560,P,07D14,P54,4,2,3,3.2,3.2,3.1
K700210560,P,07D14,P54,4,2,2.6,3.2,2.9,2.6
K700210560,P,07D14,P54,4,2,2.8,3.1,3.1,3.1
K700210560,F,07D15,极差,1,0,0.3999999999999999,0.10000000000000009,0.30000000000000027,0.5
K700210560,D,07D03,P55,15.2,14.6,OK,OK,OK,OK
K700210560,D,09D06,P56,13.8,12.8,OK,OK,OK,OK
K700210560,D,07D08,P57,15.2,14.6,OK,OK,OK,OK
K700210560,D,09D03,P58,12.6,11.6,OK,OK,OK,OK
K700210560,D,07D13,P59,14.4,13.8,OK,OK,OK,OK
K700210560,F,07D20,P51-P41,0.75,-0.75,0.8200000000000001,0.76,0.7,0.77
K700210560,F,07D20,P51-P41,0.75,-0.75,0.27,0.21,0.29,0.17
